image_name,blue_cast,green_cast,low_light,blur,mean_a,mean_b,color_variance,mean_v,laplacian_var,edge_density
100_img_.png,1,0,0,0,-14.163941383361816,-29.648197174072266,94.67144012451172,175.35342407226562,664.334502531821,0.08265
10139.png,1,0,0,1,-21.39755630493164,-14.522256851196289,189.93409729003906,166.39263916015625,55.64071281821169,0.027760416666666666
10151.png,0,1,0,0,-18.23038101196289,2.358311653137207,251.02960205078125,114.23011016845703,94.50900938577534,0.04717881944444444
101_img_.png,0,1,0,1,-27.58069610595703,17.81423568725586,46.923797607421875,156.6265106201172,68.93496844933178,0.018447282744803405
102_img_.png,0,1,0,1,-28.740575790405273,5.277385711669922,275.3531799316406,114.37532806396484,116.44038882882549,0.02402135231316726
104_img_.png,1,0,0,1,-7.017634868621826,-30.384075164794922,237.90914916992188,166.65045166015625,54.36467723764622,0.006276
105_img_.png,0,1,0,1,-46.973304748535156,29.22671890258789,73.13482666015625,146.20059204101562,97.3966147554519,0.023525435186750043
106_img_.png,1,0,0,0,0.12930302321910858,-11.381757736206055,240.5575714111328,88.60319519042969,1056.3390213484274,0.18743181818181817
107_img_.png,1,0,0,1,-2.4311399459838867,-40.71591567993164,185.6981201171875,177.39903259277344,21.886569991512175,0.001081081081081081
108_img_.png,1,0,0,1,-16.6671085357666,-12.272574424743652,51.59040832519531,181.34271240234375,156.28093553542723,0.02005184331797235
10909.png,0,0,0,1,-4.744635581970215,-1.4285807609558105,424.2358703613281,118.0031967163086,44.93103119906201,0.024157986111111113
10945.png,1,0,0,1,-7.267226696014404,-22.78017807006836,162.5147705078125,150.93783569335938,10.9720703102206,0.0038237847222222223
109_img_.png,0,0,0,0,-34.15038299560547,-0.40878334641456604,181.25173950195312,145.0145263671875,283.63413260065744,0.05435196078431372
10_img_.png,1,0,0,1,-5.086611747741699,-39.33278274536133,191.81936645507812,181.94879150390625,82.61617362539343,0.011444388231631382
11052.png,0,0,0,0,1.228832483291626,6.9525651931762695,455.3069152832031,112.2446517944336,95.02619923591143,0.055677083333333335
11064.png,1,0,0,0,-1.4346354007720947,-5.588059902191162,638.6829223632812,125.95403289794922,82.22759656965468,0.037578125
111_img_.png,1,0,0,1,-2.9751129150390625,-36.33570861816406,614.923828125,169.5806427001953,36.74096740478668,0.028887096774193547
112_img_.png,1,0,0,1,-16.540761947631836,-6.934004306793213,44.9623908996582,163.31732177734375,45.892857586203924,0.004493793103448276
11374.png,1,0,0,0,-18.043142318725586,-5.9827775955200195,285.48382568359375,151.07000732421875,196.29269216125866,0.09022135416666667
11398.png,0,1,0,0,-20.98814582824707,2.1448957920074463,896.0762329101562,158.41493225097656,106.12653210809026,0.055998263888888886
113_img_.png,1,0,0,1,-19.100406646728516,-14.808147430419922,147.9784393310547,128.9216766357422,37.085836752516954,0.004764434349355217
114_img_.png,1,0,0,0,-11.35079288482666,-19.76272964477539,177.80995178222656,161.94924926757812,1713.0564496444026,0.1025204128689236
115_img_.png,1,0,0,0,13.121225357055664,-51.361270904541016,615.7095947265625,180.6643524169922,565.2491800364779,0.054828201695671576
116_img_.png,1,0,0,0,-24.665618896484375,-6.024856090545654,160.33489990234375,150.03372192382812,265.4578024406642,0.09282715532440057
117_img_.png,0,0,0,0,0.41027018427848816,1.8817936182022095,71.81023406982422,125.5892562866211,478.3981033058061,0.13166666666666665
118_img_.png,1,0,0,0,-1.5405371189117432,-7.5971808433532715,162.77249145507812,149.21421813964844,204.5580300137732,0.05981119791666667
11_img_.png,0,0,0,0,-23.721933364868164,-2.731733560562134,587.3001098632812,136.1331329345703,555.626192420865,0.08454338972431077
120_img_.png,1,0,0,0,-3.0754330158233643,-12.662903785705566,142.3024444580078,155.63638305664062,130.2480492594401,0.038098958333333335
121_img_.png,1,0,0,0,-6.772331714630127,-17.40972328186035,512.4448852539062,136.70376586914062,416.78368562589503,0.09354074074074074
1225.png,0,1,0,0,-11.90105152130127,3.743089199066162,376.3847961425781,105.36026000976562,297.3590592447163,0.110302734375
12290.png,0,0,1,1,-0.21499131619930267,-1.279366374015808,8.91987419128418,29.256391525268555,14.131556996888289,0.008342013888888888
12299.png,0,0,1,1,-2.8221333026885986,-1.2393815517425537,30.737682342529297,46.562496185302734,34.26283308348361,0.02370334201388889
122_img_.png,1,0,0,0,-2.438652276992798,-11.326318740844727,126.47047424316406,151.40127563476562,144.59515552262198,0.03765625
12324.png,0,0,1,0,-1.4965754747390747,2.1802008152008057,86.76318359375,46.92230224609375,111.94812824927318,0.04440646701388889
12336.png,0,0,1,1,-0.61763995885849,4.604470252990723,86.09767150878906,70.62982940673828,36.44994464896756,0.017084418402777777
12348.png,0,0,1,1,-3.652301549911499,0.6525943875312805,42.212547302246094,37.82257843017578,9.343606770715596,0.006108940972222222
123_img_.png,0,0,0,0,0.95992511510849,-1.5380403995513916,83.77182006835938,150.28253173828125,559.3053803649901,0.12335611979166666
12422.png,1,0,0,1,-8.513113975524902,-11.077519416809082,68.04505920410156,101.86116027832031,12.8350046942393,0.008515625
12433.png,1,0,0,0,-8.576581001281738,-8.250511169433594,46.68343734741211,100.87505340576172,96.95050186020534,0.05172526041666667
12445.png,1,0,0,0,-6.352923393249512,-9.428357124328613,49.41908264160156,97.71184539794922,271.49451230349104,0.07839668843283581
124_img_.png,1,0,0,0,-2.420992851257324,-15.088984489440918,184.7314453125,161.0300750732422,220.96909761826197,0.057320963541666665
125_img_.png,0,0,0,0,1.9056836366653442,0.06416340917348862,60.572635650634766,142.253173828125,797.7163473280165,0.1646484375
12900.png,1,0,0,1,-8.125018119812012,-7.534789562225342,70.26996612548828,95.01728820800781,31.48901144731192,0.018518880208333335
129_img_.png,1,0,0,0,-26.205322265625,-8.746219635009766,197.90328979492188,127.19820404052734,85.73165277643598,0.040070588235294115
130_img_.png,1,0,0,0,-1.5437467098236084,-9.407500267028809,126.597412109375,144.32098388671875,254.81841426822876,0.07154296875
131_img_.png,1,0,0,0,-3.674889326095581,-21.802661895751953,172.670654296875,162.95184326171875,127.54868116886352,0.03234375
133_img_.png,1,0,0,0,-1.6147981882095337,-6.367506504058838,46.406917572021484,146.91552734375,248.88796465042958,0.071357421875
135_img_.png,1,0,0,0,-13.486530303955078,-23.846067428588867,203.9064178466797,179.2165069580078,184.05951168785094,0.040716145833333335
136_img_.png,1,0,0,0,-4.526849269866943,-20.783464431762695,98.05845642089844,98.43046569824219,184.7073268823819,0.03971338250790306
137_img_.png,1,0,0,0,-0.83642578125,-9.227311134338379,50.87021255493164,151.49786376953125,271.1682531940036,0.0665234375
138_img_.png,1,0,0,1,-4.500377655029297,-28.984582901000977,221.49131774902344,181.09408569335938,91.73166005448235,0.021748046875
139_img_.png,1,0,0,1,-17.808134078979492,-28.312000274658203,112.13018798828125,178.25010681152344,22.102737343935985,0.0011598039215686274
13_img_.png,1,0,0,0,-30.496877670288086,-6.5721435546875,89.44287872314453,158.98013305664062,248.06838938348588,0.07582379293180687
1407.png,0,0,0,0,-0.721068799495697,-3.989558458328247,493.9710388183594,112.1097412109375,85.91539966022702,0.05924913194444444
140_img_.png,1,0,0,1,-15.006324768066406,-13.000558853149414,151.90769958496094,117.5853500366211,125.64412810361324,0.020697958277851754
